,Symbol,Company Name,Industry,Market Cap
0,A,Agilent Technologies,Life Sciences Tools & Services,47.30B
1,AA,Alcoa,Metals & Mining,9.13B
2,AAC,Ares Acquisition,Blank Check / SPAC,1.22B
3,AACG,ATA Creativity Global,Diversified Consumer Services,49.26M
4,AACI,Armada Acquisition I,Blank Check / SPAC,202.12M
5,AADI,Aadi Bioscience,Biotechnology,472.20M
6,AAIC,Arlington Asset Investment,Mortgage Real Estate Investment Trus...,116.16M
7,AAL,American Airlines Group,Airlines,11.66B
8,AAMC,Altisource Asset Management,Real Estate Management & Development,36.79M
9,AAME,Atlantic American,Insurance,75.81M
10,AAN,The Aaron's Company,Specialty Retail,766.62M
11,AAOI,Applied Optoelectronics,Communications Equipment,157.78M
12,AAON,"AAON, Inc.",Building Products,4.20B
13,AAP,Advance Auto Parts,Specialty Retail,14.97B
14,AAPL,Apple,"Technology Hardware, Storage & Periph...","2,944.13B"
15,AAQC,Accelerate Acquisition,Blank Check / SPAC,487.00M
16,AAT,American Assets Trust,Equity Real Estate Investment Trusts...,2.16B
17,AATC,Autoscope Technologies,Scientific & Technical Instruments,35.94M
18,AAU,Almaden Minerals,Metals & Mining,42.84M
19,AAWW,Atlas Air Worldwide Holdings,Air Freight & Logistics,2.53B
20,AB,AllianceBernstein Holding,Capital Markets,5.03B
21,ABB,ABB Ltd,Electrical Equipment,73.20B
22,ABBV,AbbVie,Biotechnology,221.82B
23,ABC,AmerisourceBergen,Health Care Providers & Services,25.63B
24,ABCB,Ameris Bancorp,Banks,3.43B
25,ABCL,AbCellera Biologics,Biotechnology,3.93B
26,ABCM,Abcam,Biotechnology,5.23B
27,ABEO,Abeona Therapeutics,Biotechnology,62.78M
28,ABEV,Ambev,Beverages,45.08B
29,ABG,Asbury Automotive Group,Specialty Retail,3.99B
30,ABGI,ABG Acquisition I,Blank Check / SPAC,188.30M
31,ABIO,ARCA biopharma,Biotechnology,33.58M
32,ABM,ABM Industries,Commercial Services & Supplies,3.06B
33,ABMD,Abiomed,Health Care Equipment & Supplies,13.92B
34,ABNB,Airbnb,"Hotels, Restaurants & Leisure",114.64B
35,ABOS,Acumen Pharmaceuticals,Biotechnology,284.91M
36,ABR,Arbor Realty Trust,Mortgage Real Estate Investment Trus...,2.73B
37,ABSI,Absci,Biotechnology,942.58M
38,ABST,Absolute Software,Software-Application,442.56M
39,ABT,Abbott Laboratories,Health Care Equipment & Supplies,237.61B
40,ABTX,Allegiance Bancshares,Banks,817.92M
41,ABUS,Arbutus Biopharma,Biotechnology,560.01M
42,ABVC,ABVC BioPharma,Biotechnology,99.56M
43,AC,Associated Capital Group,Capital Markets,860.27M
44,ACA,Arcosa,Construction & Engineering,2.66B
45,ACAD,ACADIA Pharmaceuticals,Biotechnology,3.58B
46,ACAH,Atlantic Coastal Acquisition,Blank Check / SPAC,425.47M
47,ACB,Aurora Cannabis,Pharmaceuticals,1.22B
48,ACBA,Ace Global Business Acquisition,Blank Check / SPAC,60.96M
49,ACBI,Atlantic Capital Bancshares,Banks,576.04M
50,ACC,American Campus Communities,Equity Real Estate Investment Trusts...,7.57B
51,ACCD,Accolade,Health Care Technology,1.63B
52,ACCO,ACCO Brands,Commercial Services & Supplies,787.87M
53,ACEL,Accel Entertainment,"Hotels, Restaurants & Leisure",1.22B
54,ACER,Acer Therapeutics,Pharmaceuticals,29.48M
55,ACET,Adicet Bio,Health Care Providers & Services,443.86M
56,ACEV,ACE Convergence Acquisition,Blank Check / SPAC,286.06M
57,ACGL,Arch Capital Group,Insurance,16.77B
58,ACH,Aluminum Corporation of China,Metals & Mining,15.25B
59,ACHC,Acadia Healthcare Company,Health Care Providers & Services,5.28B
60,ACHL,Achilles Therapeutics,Biotechnology,201.39M
61,ACHR,Archer Aviation,Aerospace & Defense,1.73B
62,ACHV,Achieve Life Sciences,Biotechnology,67.12M
63,ACI,Albertsons Companies,Grocery Stores,14.34B
64,ACII,Atlas Crest Investment II,Blank Check / SPAC,421.76M
65,ACIU,AC Immune,Biotechnology,364.72M
66,ACIW,ACI Worldwide,Software,3.89B
67,ACKIT,Ackrell SPAC Partners I Co.,Blank Check / SPAC,154.12M
68,ACLS,Axcelis Technologies,Semiconductors & Semiconductor Equipment,2.20B
69,ACM,AECOM,Construction & Engineering,10.38B
70,ACMR,ACM Research,Semiconductors & Semiconductor Equipment,1.50B
71,ACN,Accenture,IT Services,239.67B
72,ACNB,ACNB Corporation,Banks,253.72M
73,ACOR,Acorda Therapeutics,Biotechnology,29.69M
74,ACQR,Independence Holdings,Blank Check / SPAC,603.58M
75,ACR,ACRES Commercial Realty,Mortgage Real Estate Investment Trus...,126.94M
76,ACRE,Ares Commercial Real Estate,Mortgage Real Estate Investment Trus...,690.46M
77,ACRO,Acropolis Infrastructure Acquisition,Blank Check / SPAC,363.75M
78,ACRS,Aclaris Therapeutics,Pharmaceuticals,808.20M
79,ACRX,AcelRx Pharmaceuticals,Pharmaceuticals,67.73M
80,ACST,Acasti Pharma,Pharmaceuticals,53.20M
81,ACT,Enact Holdings,Insurance-Specialty,3.39B
82,ACTD,ArcLight Clean Transition II,Blank Check / SPAC,389.73M
83,ACTG,Acacia Research,Professional Services,255.89M
84,ACU,Acme United,Commercial Services & Supplies,118.15M
85,ACVA,ACV Auctions,Software-Application,3.06B
86,ACXP,Acurx Pharmaceuticals,Biotechnology,43.01M
87,ACY,AeroCentury,Trading Companies & Distributors,163.42M
88,ADAG,Adagene,Biotechnology,409.62M
89,ADAP,Adaptimmune Therapeutics,Biotechnology,565.46M
90,ADBE,Adobe,Software,311.39B
91,ADC,Agree Realty,Equity Real Estate Investment Trusts...,4.75B
92,ADCT,ADC Therapeutics,Communications Equipment,1.56B
93,ADER,26 Capital Acquisition,Blank Check / SPAC,338.25M
94,ADES,Advanced Emissions Solutions,Chemicals,129.41M
95,ADEX,Adit EdTech Acquisition,Blank Check / SPAC,340.86M
96,ADGI,Adagio Therapeutics,Biotechnology,3.70B
97,ADI,Analog Devices,Semiconductors & Semiconductor Equipment,96.36B
98,ADIL,Adial Pharmaceuticals,Pharmaceuticals,57.11M
99,ADM,Archer-Daniels-Midland Company,Food Products,35.50B
100,ADMA,ADMA Biologics,Biotechnology,260.43M
101,ADMP,Adamis Pharmaceuticals,Pharmaceuticals,100.96M
102,ADN,Advent Technologies Holdings,Utilities-Renewable,376.20M
103,ADNT,Adient,Auto Components,4.47B
104,ADOC,Edoc Acquisition,Blank Check / SPAC,120.40M
105,ADP,Automatic Data Processing,IT Services,99.75B
106,ADPT,Adaptive Biotechnologies,Life Sciences Tools & Services,3.77B
107,ADRA,Adara Acquisition,Blank Check / SPAC,141.31M
108,ADS,Alliance Data Systems,IT Services,3.64B
109,ADSK,Autodesk,Software,59.17B
110,ADT,ADT Inc.,Commercial Services & Supplies,7.07B
111,ADTN,ADTRAN,Communications Equipment,1.02B
112,ADTX,Aditx,Biotechnology,34.31M
113,ADUS,Addus HomeCare,Health Care Providers & Services,1.46B
114,ADV,Advantage Solutions,Advertising Agencies,2.39B
115,ADVM,Adverum Biotechnologies,Biotechnology,176.67M
116,ADXN,Addex Therapeutics,Biotechnology,39.15M
117,ADXS,Advaxis,Biotechnology,47.33M
118,AE,Adams Resources & Energy,"Oil, Gas & Consumable Fuels",123.51M
119,AEAC,Authentic Equity Acquisition,Blank Check / SPAC,292.80M
120,AEE,Ameren,Multi-Utilities,22.47B
121,AEG,Aegon,Insurance,9.16B
122,AEHA,Aesther Healthcare Acquisition,Blank Check / SPAC,125.62M
123,AEHL,Antelope Enterprise Holdings,Building Products & Equipment,10.15M
124,AEHR,Aehr Test Systems,Semiconductors & Semiconductor Equipment,409.78M
125,AEI,Alset EHome International,Real Estate-Development,40.36M
126,AEIS,Advanced Energy Industries,Semiconductors & Semiconductor Equipment,3.27B
127,AEL,American Equity Investment Life Holding Company,Insurance,3.40B
128,AEM,Agnico Eagle Mines,Metals & Mining,11.72B
129,AEMD,Aethlon Medical,Health Care Equipment & Supplies,33.87M
130,AENZ,Aenza,Engineering & Construction,277.27M
131,AEO,American Eagle Outfitters,Specialty Retail,4.40B
132,AEP,American Electric Power Company,Electric Utilities,41.69B
133,AER,AerCap Holdings,Trading Companies & Distributors,14.83B
134,AERC,AeroClean Technologies,Pollution & Treatment Controls,180.09M
135,AERI,Aerie Pharmaceuticals,Pharmaceuticals,425.74M
136,AES,The AES Corporation,Independent Power and Renewable Elect...,16.28B
137,AESE,Allied Esports Entertainment,"Hotels, Restaurants & Leisure",75.54M
138,AEVA,Aeva Technologies,Auto Parts,1.92B
139,AEY,ADDvantage Technologies Group,"Electronic Equipment, Instruments & C...",23.65M
140,AEYE,AudioEye,Software,84.36M
141,AEZS,AEterna Zentaris,Biotechnology,52.22M
142,AFAQ,AF Acquisition,Blank Check / SPAC,273.00M
143,AFBI,Affinity Bancshares,Banks,104.12M
144,AFCG,AFC Gamma,REIT-Specialty,347.27M
145,AFG,American Financial Group,Insurance,11.71B
146,AFI,Armstrong Flooring,Building Products,43.85M
147,AFIB,Acutus Medical,Medical Devices,93.08M
148,AFIN,American Finance Trust,Equity Real Estate Investment Trusts...,1.04B
149,AFL,Aflac,Insurance,38.26B
150,AFMD,Affimed,Biotechnology,705.60M
151,AFRM,Affirm Holdings,IT Services,32.23B
152,AFTR,AfterNext HealthTech Acquisition,Blank Check / SPAC,302.81M
153,AFYA,Afya Limited,Diversified Consumer Services,1.37B
154,AG,First Majestic Silver,Metals & Mining,2.77B
155,AGAC,African Gold Acquisition,Blank Check / SPAC,507.15M
156,AGBA,AGBA Acquisition,Blank Check / SPAC,58.99M
157,AGCB,Altimeter Growth 2,Blank Check / SPAC,580.41M
158,AGCO,AGCO Corporation,Machinery,8.77B
159,AGE,AgeX Therapeutics,Biotechnology,24.09M
160,AGEN,Agenus,Biotechnology,827.00M
161,AGFS,AgroFresh Solutions,Chemicals,99.98M
162,AGFY,Agrify,Machinery,287.80M
163,AGGR,Agile Growth,Blank Check / SPAC,376.26M
164,AGI,Alamos Gold,Metals & Mining,2.82B
