Holdings details

Total Stock Market ETF (VTI)


Equity,as of 06/30/2021

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITY DEPOSITORY RECEIPT TYPE,MARKET VALUE*,SHARES
,2046251,Apple Inc.,AAPL,4.83%,"Technology Hardware, Storage & Periphera",US,---,"$61,327,184,152.32","447,774,417"
,2588173,Microsoft Corp.,MSFT,4.54%,Systems Software,US,---,"$57,630,434,878.80","212,736,932"
,2000019,Amazon.com Inc.,AMZN,3.28%,Internet & Direct Marketing Retail,US,---,"$41,654,685,417.12","12,108,357"
,B7TL820,Facebook Inc.,FB,1.86%,Interactive Media & Services,US,---,"$23,532,675,521.30","67,679,030"
,BYVY8G0,Alphabet Inc.,GOOGL,1.63%,Interactive Media & Services,US,---,"$20,717,499,111.66","8,484,554"
,BYY88Y7,Alphabet Inc.,GOOG,1.54%,Interactive Media & Services,US,---,"$19,495,923,915.60","7,778,705"
,B616C79,Tesla Inc.,TSLA,1.17%,Automobile Manufacturers,US,---,"$14,795,966,526.60","21,768,378"
,2073390,Berkshire Hathaway Inc.,BRK.B,1.07%,Multi-Sector Holdings,US,---,"$13,591,068,399.36","48,902,808"
,2379504,NVIDIA Corp.,NVDA,1.05%,Semiconductors,US,---,"$13,375,779,763.50","16,717,635"
,2190385,JPMorgan Chase & Co.,JPM,1.05%,Diversified Banks,US,---,"$13,298,590,674.60","85,499,490"
,2475833,Johnson & Johnson,JNJ,0.97%,Pharmaceuticals,US,---,"$12,253,562,841.76","74,381,224"
,B2PZN04,Visa Inc.,V,0.88%,Data Processing & Outsourced Services,US,---,"$11,121,340,359.06","47,563,683"
,2917766,UnitedHealth Group Inc.,UNH,0.84%,Managed Health Care,US,---,"$10,673,838,321.00","26,655,275"
,BYW36M8,PayPal Holdings Inc.,PYPL,0.76%,Data Processing & Outsourced Services,US,---,"$9,671,980,010.28","33,182,311"
,2434209,Home Depot Inc.,HD,0.75%,Home Improvement Retail,US,---,"$9,576,804,348.54","30,031,686"
,2704407,Procter & Gamble Co.,PG,0.74%,Household Products,US,---,"$9,329,302,534.28","69,141,796"
,B121557,Mastercard Inc.,MA,0.72%,Data Processing & Outsourced Services,US,---,"$9,122,902,508.28","24,988,092"
,2270726,Walt Disney Co.,DIS,0.71%,Movies & Entertainment,US,---,"$9,020,734,706.34","51,321,242"
,2295677,Bank of America Corp.,BAC,0.71%,Diversified Banks,US,---,"$8,981,241,602.55","217,832,685"
,2008154,Adobe Inc.,ADBE,0.62%,Application Software,US,---,"$7,907,367,501.44","13,502,096"
,2326618,Exxon Mobil Corp.,XOM,0.59%,Integrated Oil & Gas,US,---,"$7,543,061,108.56","119,579,282"
,2044545,Comcast Corp.,CMCSA,0.58%,Cable & Satellite,US,---,"$7,384,408,969.88","129,505,594"
,2857817,Netflix Inc.,NFLX,0.52%,Movies & Entertainment,US,---,"$6,615,751,018.50","12,524,850"
,2463247,Intel Corp.,INTC,0.50%,Semiconductors,US,---,"$6,403,297,747.56","114,059,454"
,2090571,Verizon Communications Inc.,VZ,0.49%,Integrated Telecommunication Services,US,---,"$6,224,322,104.91","111,089,097"
,2684703,Pfizer Inc.,PFE,0.49%,Pharmaceuticals,US,---,"$6,191,595,392.84","158,110,199"
,2310525,salesforce.com Inc.,CRM,0.48%,Application Software,US,---,"$6,045,125,320.13","24,747,719"
,2206657,Coca-Cola Co.,KO,0.47%,Soft Drinks,US,---,"$5,930,781,633.98","109,606,018"
,2002305,Abbott Laboratories,ABT,0.46%,Health Care Equipment,US,---,"$5,818,347,124.43","50,188,451"
,2831811,AT&T Inc.,T,0.46%,Integrated Telecommunication Services,US,---,"$5,804,171,964.00","201,673,800"
,2681511,PepsiCo Inc.,PEP,0.46%,Soft Drinks,US,---,"$5,782,213,787.79","39,024,187"
,2838555,Chevron Corp.,CVX,0.45%,Integrated Oil & Gas,US,---,"$5,714,550,822.82","54,559,393"
,2198163,Cisco Systems Inc./Delaware,CSCO,0.45%,Communications Equipment,US,---,"$5,677,624,735.00","107,124,995"
,B92SR70,AbbVie Inc.,ABBV,0.44%,Biotechnology,US,---,"$5,619,457,761.28","49,888,652"
,2936921,Walmart Inc.,WMT,0.44%,Hypermarkets & Super Centers,US,---,"$5,602,677,217.28","39,729,664"
,2886907,Thermo Fisher Scientific Inc.,TMO,0.44%,Life Sciences Tools & Services,US,---,"$5,600,411,540.25","11,101,575"
,2516152,Eli Lilly & Co.,LLY,0.44%,Pharmaceuticals,US,---,"$5,595,778,620.56","24,380,353"
,2640147,NIKE Inc.,NKE,0.44%,Footwear,US,---,"$5,563,608,048.11","36,012,739"
,2778844,Merck & Co. Inc.,MRK,0.44%,Pharmaceuticals,US,---,"$5,562,192,913.97","71,521,061"
,B4BNMY3,Accenture plc,ACN,0.42%,IT Consulting & Other Services,US,---,"$5,292,754,287.59","17,954,321"
,2649100,Wells Fargo & Co.,WFC,0.42%,Diversified Banks,US,---,"$5,288,145,816.94","116,761,886"
,BDZ78H9,Broadcom Inc.,AVGO,0.41%,Semiconductors,US,---,"$5,224,727,296.88","10,956,982"
,2885409,Texas Instruments Inc.,TXN,0.40%,Semiconductors,US,---,"$5,016,484,140.30","26,086,761"
,2701271,Costco Wholesale Corp.,COST,0.39%,Hypermarkets & Super Centers,US,---,"$4,945,558,859.67","12,499,201"
,2550707,McDonald's Corp.,MCD,0.38%,Restaurants,US,---,"$4,868,136,887.02","21,075,098"
,2250870,Danaher Corp.,DHR,0.38%,Health Care Equipment,US,---,"$4,866,165,439.36","18,132,976"
,BTN1Y11,Medtronic plc,MDT,0.37%,Health Care Equipment,US,---,"$4,726,257,321.93","38,075,061"
,2714923,QUALCOMM Inc.,QCOM,0.36%,Semiconductors,US,---,"$4,554,120,560.42","31,862,594"
,B2PKRQ3,Philip Morris International Inc.,PM,0.34%,Tobacco,US,---,"$4,363,346,591.01","44,025,291"
,2020459,Honeywell International Inc.,HON,0.34%,Industrial Conglomerates,US,---,"$4,302,971,621.35","19,616,921"
,2517382,United Parcel Service Inc.,UPS,0.33%,Air Freight & Logistics,US,---,"$4,249,240,128.42","20,431,986"
,BZ12WP8,Linde plc,LIN,0.33%,Industrial Gases,US,---,"$4,245,854,429.60","14,686,456"
,2126335,Bristol-Myers Squibb Co.,BMY,0.33%,Pharmaceuticals,US,---,"$4,214,314,814.84","63,069,662"
,2297907,Citigroup Inc.,C,0.33%,Diversified Banks,US,---,"$4,130,702,596.75","58,384,489"
,2914734,Union Pacific Corp.,UNP,0.33%,Railroads,US,---,"$4,126,457,738.28","18,762,596"
,2328915,NextEra Energy Inc.,NEE,0.32%,Electric Utilities,US,---,"$4,059,955,069.76","55,403,317"
,2108601,Boeing Co.,BA,0.31%,Aerospace & Defense,US,---,"$3,957,187,910.52","16,518,567"
,2023607,Amgen Inc.,AMGN,0.31%,Biotechnology,US,---,"$3,955,761,225.00","16,228,764"
